אל-בטוף,"חמאם, עוזייר, רומאנה, רומת הייב "
אלונה,"אביאל, גבעת ניל""י, עמיקם "
אפעל,"כפר אז""ר, נווה אפעל, רמת אפעל, רמת פנקס "
אשכול,"אבשלום, אוהד, אורים, בארי, גבולות, דקל, חולית, יבול, ישע, יתד, כיסופים, מבטחים, מגן, ניר יצחק, ניר עוז, נירים, סופה, עין הבשור, עין השלושה, עמיעוז, פרי גן, צאלים, צוחר, רעים, שדה ניצן, שדי אברהם,תלמי אליהו, תלמי יוסף"
באר טוביה,"אביגדור, אורות, אחווה, אמונים, באר טוביה, ביצרון, בית עזרא, גבעתי, חצב, חצור-אשדוד, ינון, כנות, כפר אחים, כפר ורבורג, נווה מבטח, ניר בנים, עזר, עזריקם, ערוגות, שדה עוזיהו, שתולים, תימורים, תלמי יחיאל"
בוסתאן אל מרג'," דחי, כפר מצר, ניין, סולם "
בני שמעון,"בית קמה, ברוש, דבירה, חצרים, כרמים, להב, משמר הנגב, נבטים, סנסנה, שובל, שומריה, תאשור, תדהר"
בקעת בית שאן,"בית יוסף, גשר, חמדיה, טירת צבי, ירדנה, כפר רופין, מירב, מסילות, מעוז חיים, מעלה גלבוע, נווה אור, נווה איתן, ניר דוד (תל עמל), עין הנצי""ב, רוויה, רחוב, רשפים, שדה אליהו, שדה נחום, שדי תרומות,שלוחות, תל תאומים"
ברנר,"בית אלעזרי, בניה, גבעת ברנר, גיבתון, גן שלמה, קדרון "
גדרות," גן הדרום, כפר אביב, כפר מרדכי, מישר, משגב דב, עשרת, שדמה "
גולן,"אבני איתן, אודם, אורטל, אל-רום, אלוני הבשן, אלי-עד, אניעם, אפיק, בני יהודה, גבעת יואב, גשור, חד-נס, חספין, יונתן, כנף, כפר חרוב,מבוא חמה, מיצר, מעלה גמלא, מרום גולן, נאות גולן, נוב, נווה אטי""ב,נטור, עין זיוון, קדמת צבי, קלע, קשת, רמות, רמת מגשימים, שעל"
גוש עציון,"אלון שבות, אלעזר, אספר, בת עין, הר גילה, כפר עציון, כרמי צור, מגדל עוז, מעלה עמוס, נווה דניאל, נוקדים, קדר, ראש צורים, תקוע"
גזר,"בית חשמונאי, בית עוזיאל, גזר, גני הדר, גני יוחנן, חולדה, יד רמב""ם, יציץ, ישרש, כפר ביל""ו, כפר בן נון, כפר שמואל, כרמי יוסף, מצליח,משמר איילון, משמר דוד, נוף איילון, נען, נצר סרני, סתריה, עזריה,פדיה, פתחיה, רמות מאיר, שעלבים"
גן רווה,"בית חנן, בית עובד, גאליה, גן שורק, כפר הנגיד, נטעים, עיינות, פלמחים"
דרום השרון,"אייל, אלישמע, בית ברל, גבעת השלושה, גבעת ח""ן, גן חיים, גני יהודה, גני עם, גת רימון, חגור, חורשים, ירחיב, ירקונה, כפר מל""ל, כפר סירקין, מגשימים, מעש, מתן, נווה ימין, נווה ירק, נחשונים, ניר אליהו,נירית, עדנים, עינת, צופית, צור יגאל, צור נתן, רמת הכובש, שדה ורבורג, שדי חמד"
הגלבוע,"אביטל, אדירים, אומן, בית אלפא, בית השיטה, ברק, גבע, גדיש, גדעונה, גן נר, דבור, חבר, חפצי-בה, טייבה (בעמק), טמרה (יזרעאל),יזרעאל, יעל, כפר יחזקאל, מגן שאול, מולדת, מוקייבלה, מיטב, מלאה,נאעורה, ניר יפה, עין חרוד (איחוד), עין חרוד (מאוחד), פרזון, צנדלה,רם-און, רמת צבי, תל יוסף"
הגליל העליון,"איילת השחר, ברעם, גדות, גונן, דן, דפנה, הגושרים, חולתה, יפתח, יראון, כפר בלום, כפר גלעדי, כפר הנשיא, כפר סאלד, להבות הבשן,מחניים, מלכיה, מנרה, מעין ברוך, משגב עם, נאות מרדכי, סאסא,עמיעד, עמיר, צבעון, קדרים, שדה נחמיה, שמיר, שניר"
הגליל התחתון,"אילניה, ארבל, בית קשת, בית רימון, גבעת אבני, הודיות, הזורעים, כדורי, כפר זיתים, כפר חיטים, כפר קיש, לביא, מסד, מצפה, מצפה נטופה, שדה אילן, שדמות דבורה, שרונה "
הערבה התיכונה," חצבה, ספיר, עידן, עין יהב, פארן, צופר "
הר חברון,"אדורה, אשכולות, חגי, טנא, כרמל, מעון, מצדות יהודה, נגוהות, סוסיה, עתניאל, פני חבר, שמעה, תלם"
זבולון,"אבטין, אורנים, אושה, ח'ואלד, יגור, כפר ביאליק, כפר המכבי, כפר הנוער הדתי, כפר חסידים א', כפר חסידים ב', נופית, רמת יוחנן, שער העמקים"
חבל אילות,"אילות, אליפז, גרופית, יהל, יטבתה, לוטן, נאות סמדר, נווה חריף, סמר, קטורה, שחרות"
