175,אביחיל,1383
679,אביאל,812
819,אביגדור,793
1070,אביעזר,883
1115,אביבים,489
1275,אבטליון,436
2052,אביטל,519
472,"אבו גוש",7332
473,"אבו סנאן",13694
652,אבטין,2759
1342,"אבו קורינאת (יישוב)",1569
1375,"אבו תלול",551
113,אדירים,277
182,"אבן יהודה",13704
400,"אבן שמואל",1941
446,אודים,1367
783,"אבן ספיר",728
1046,אוהד,408
1068,אדמית,199
1081,"אבן מנחם",286
1108,אומן,355
1123,אדרת,919
1220,אבירים,216
1311,אבשלום,261
3759,אדורה,440
3786,אבנת,201
3793,"אבני חפץ",1836
4010,אודם,131
4011,"אבני איתן",700
1358,"אום בטין",3443
2024,"אום אל-קוטוף",1071
2710,"אום אל-פחם",54240
31,אופקים,27771
67,"אור הנר",733
278,אושה,483
403,אורים,475
565,אזור,12701
680,אומץ,795
780,אורה,1388
882,אורנים,182
1020,"אור עקיבא",17759
1294,"אור הגנוז",539
2012,אורות,515
2400,"אור יהודה",36706
3760,אורנית,8655
4013,אורטל,352
37,איתן,449
49,אילנייה,487
77,"איילת השחר",1161
294,אילון,980
338,איבים,379
716,אייל,506
785,אחיהוד,859
797,אחיעזר,1782
804,אחיסמך,1382
821,אחוזם,539
850,אחיטוב,1091
886,איתנים,72
1126,אילות,322
1157,אחווה,293
1330,"אחוזת ברק",2208
1336,אירוס,478
2600,אילת,50724
3762,איתמר,1199
41,אליכין,3483
285,אלונים,482
330,אלומות,381
429,"אלוני אבא",970
682,אליקים,884
730,אליפלט,623
868,"אלוני יצחק",270
1145,אלומה,503
1182,"אלון הגליל",1086
1248,אליפז,150
1365,אליאב,361
3579,"אלון מורה",1912
3604,"אלון שבות",3213
4002,אלי-עד,375
4003,"אל -רום",381
4017,"אלוני הבשן",439
478,אכסאל,14245
1316,"אל -עריאן",188
1339,"אל -עזי",187
1359,"אל סייד",3796
23,אמציה,465
204,אלישיב,734
603,אלקוש,302
772,אמונים,966
841,אלישמע,1210
1064,אמירים,813
1125,אלמגור,383
1253,אמנון,313
1309,אלעד,46896
3556,אלמוג,250
3560,אלקנה,3884
3618,אלעזר,2571
3750,"אלפי מנשה",7801
3754,אספר,729
4012,אניעם,536
4301,אפיק,295
529,אעבלין,12990
70,אשדוד,222883
71,אשבול,562
176,אפיקים,1493
188,"אשדות יעקב (מאוחד)",475
199,"אשדות יעקב (איחוד)",996
313,אפק,630
701,ארבל,732
714,ארז,494
740,אשתאול,1267
1152,אשלים,525
1188,אשחר,886
1256,אשרת,551
1276,אשבל,113
1324,ארסוף,178
2021,"אשל הנשיא",349
3570,אריאל,19626
3598,ארגמן,128
3650,אפרת,9116
3722,אשכולות,521
7100,אשקלון,137945
21,"באר אורה",871
155,"באר טוביה",1177
234,ביצרון,1227
399,בארי,1018
450,"בארות יצחק",412
559,"בוסתן הגליל",1257
697,בארותיים,1151
698,בורגתה,1118
762,בטחה,775
